/home/yuke/.graphs/orig/
dataset,origin,origin_eff,reduced,reduced_eff,reduction (%)
citeseer,7624,0.00,1197,0.05,84.30
cora,7477,0.00,1268,0.08,83.04
pubmed,84094,0.00,11474,0.04,86.36
ppi,293819,0.00,81006,0.06,72.43
PROTEINS_full,19045,0.00,12867,0.14,32.44
OVCAR-8H,567979,0.00,408653,0.05,28.05
Yeast,446335,0.00,340051,0.08,23.81
DD,352902,0.00,130006,0.08,63.16
YeastH,893326,0.00,662469,0.02,25.84
SW-620H,567530,0.00,408233,0.09,28.07
amazon0505,2469469,0.00,455410,0.36,81.56
artist,1476687,0.00,201600,0.06,86.35
com-amazon,1807989,0.00,238338,0.06,86.82
web-BerkStan,1341091,0.00,689094,0.37,48.62
soc-BlogCatalog,904955,0.00,203670,0.05,77.49
amazon0601,1617201,0.00,308011,0.04,80.95
